,Ar,Losun (kg)
0,1982,160553.44000000003
1,1983,170860.72
2,1984,178544.28000000003
3,1985,175657.91999999998
4,1986,175229.12000000002
5,1987,182639.32
6,1988,182143.52000000002
7,1989,190012.00000000003
8,1990,199788.64
9,1991,197451.68000000002
10,1992,193651.44
11,1993,201908.52000000002
12,1994,206019.64000000004
13,1995,224042.64
14,1996,197607.12000000005
15,1997,247795.48
16,1998,245479.96
17,1999,273896.0
18,2000,293052.64
19,2001,292053.0
20,2002,285395.88000000006
21,2003,334423.8
22,2004,380487.64
23,2005,405374.12
24,2006,471245.8400000001
25,2007,502548.24000000005
26,2008,463597.12
27,2009,415823.44
28,2010,371603.44
29,2011,358980.64
30,2012,374859.64
31,2013,389278.04000000004
32,2014,410584.04000000004
33,2015,427336.7200000001
34,2016,494886.12
35,2017,545902.6
36,2018,563735.3200000002
